#{"t_start": 1780233715.8366811, "env_id": "Swimmer-v4"}
r,l,t
-1.96037,1000,2.661475
6.292076,1000,5.284577
21.394358,1000,7.888795
25.678798,1000,10.414835
28.657563,1000,12.957176
31.879678,1000,15.538694
36.191015,1000,22.297899
33.014413,1000,24.984715
43.234065,1000,27.764897
43.286144,1000,30.48391
44.84801,1000,33.363333
36.993596,1000,36.078205
52.977232,1000,43.336289
57.808606,1000,46.00375
58.931742,1000,48.620883
55.799146,1000,51.44287
68.682365,1000,54.531378
64.441783,1000,57.133169
55.843695,1000,64.42138
67.606542,1000,67.386583
102.587373,1000,70.086521
50.103834,1000,73.054585
45.894288,1000,76.062888
53.25786,1000,78.809774
65.319215,1000,81.765039
50.689729,1000,89.369799
57.42849,1000,92.457957
56.63444,1000,95.026901
68.347729,1000,97.592385
66.068823,1000,100.13944
65.162739,1000,102.671477
96.953601,1000,109.265633
88.853256,1000,111.868163
104.173425,1000,114.339605
117.552092,1000,116.851513
123.62876,1000,119.352041
137.098568,1000,122.004508
132.890149,1000,129.07714
127.593392,1000,131.742937
158.073421,1000,134.516213
168.220265,1000,137.232699
183.517942,1000,139.965187
196.883388,1000,141.766113
193.733967,1000,148.630613
213.797947,1000,151.154054
205.604907,1000,153.789681
222.071905,1000,156.457538
229.412098,1000,159.196025
233.502315,1000,161.991623
244.256047,1000,164.920296
260.53479,1000,171.768502
266.663181,1000,174.380232
267.030795,1000,177.113284
275.926172,1000,179.758949
282.481054,1000,182.319628
264.695326,1000,185.246274
270.191741,1000,191.743284
275.821973,1000,194.424255
285.880006,1000,197.082515
281.156383,1000,199.705448
291.974762,1000,202.223145
296.017487,1000,204.742107
290.937063,1000,211.662299
296.761469,1000,214.309202
303.0934,1000,216.688784
299.828506,1000,219.04897
313.09222,1000,221.534713
303.06575,1000,224.099166
308.508325,1000,230.869272
317.697805,1000,233.62169
310.749322,1000,236.341231
312.613601,1000,238.963747
316.916608,1000,241.556455
311.688192,1000,244.102508
316.470666,1000,246.970661
312.918854,1000,253.516485
316.310862,1000,255.987153
315.347338,1000,258.596929
317.120797,1000,261.166061
317.091774,1000,263.669377
314.985532,1000,266.261541
323.040551,1000,272.853117
316.337161,1000,275.467882
324.294253,1000,277.986928
321.161483,1000,280.663839
322.434367,1000,282.482867
323.069888,1000,285.358461
325.534673,1000,292.296264
323.085869,1000,294.865607
326.31397,1000,297.609178
320.767546,1000,300.100541
322.696192,1000,302.689979
327.055788,1000,305.592197
327.227173,1000,312.453523
325.399987,1000,315.093182
329.312364,1000,317.753341
329.784112,1000,320.311494
327.78503,1000,322.892823
333.791412,1000,325.544563
332.28402,1000,328.072909
332.434647,1000,334.566981
333.577001,1000,337.057551
332.082,1000,339.514844
335.889834,1000,342.032419
338.696274,1000,344.536441
335.727759,1000,347.02488
333.886297,1000,353.712913
334.353468,1000,356.245015
340.566056,1000,358.770478
339.271289,1000,361.17207
336.015777,1000,363.621338
339.082071,1000,366.27459
339.70204,1000,372.220167
342.581605,1000,374.697263
342.644865,1000,377.155606
339.691853,1000,379.557785
342.925689,1000,382.311331
340.171794,1000,384.749526
346.844459,1000,391.1607
341.557091,1000,393.992504
344.765962,1000,396.87028
343.889618,1000,399.593676
343.692075,1000,402.451556
339.85096,1000,405.54557
338.288566,1000,408.516602
343.749518,1000,415.929389
344.761622,1000,419.045603
342.182969,1000,421.084852
341.067938,1000,423.981967
342.399915,1000,426.856986
345.405441,1000,429.672235
343.783065,1000,436.943868
341.028092,1000,439.931196
341.639034,1000,442.826291
343.027562,1000,445.771473
338.43,1000,448.442616
343.877154,1000,451.382927
343.042314,1000,458.357191
344.55382,1000,461.061079
341.711345,1000,463.817374
341.471467,1000,466.677615
342.160152,1000,469.388923
342.884578,1000,471.85645
341.044526,1000,478.406113
345.040007,1000,481.084204
347.005268,1000,483.731288
348.450783,1000,486.620257
345.199809,1000,489.1857
346.060883,1000,491.726382
348.037323,1000,494.32659
343.686481,1000,501.085631
340.508666,1000,503.665989
341.810588,1000,506.230386
344.420397,1000,508.957456
344.825452,1000,511.973208
346.035242,1000,514.726352
344.48097,1000,521.583172
346.284345,1000,524.209263
344.320699,1000,526.797054
341.009388,1000,529.403605
346.58429,1000,531.881278
342.424893,1000,534.50004
341.870035,1000,541.05771
345.189434,1000,544.075465
346.144781,1000,546.924765
344.448657,1000,549.333842
343.990079,1000,551.839929
348.702837,1000,554.321054
343.780327,1000,560.908211
342.663583,1000,563.428334
343.409584,1000,565.108561
345.242804,1000,567.619615
342.891987,1000,570.056574
346.07574,1000,572.543268
347.085531,1000,575.140568
350.154109,1000,582.183336
349.061911,1000,584.715687
354.638344,1000,587.298648
347.181723,1000,589.868461
349.07783,1000,592.240011
349.55211,1000,594.672372
350.393559,1000,601.102793
349.363491,1000,603.890928
350.383578,1000,606.923166
350.492599,1000,609.956496
350.302073,1000,612.686447
350.704594,1000,615.197357
349.225134,1000,621.500344
352.392419,1000,624.139436
352.693494,1000,626.711888
350.790408,1000,629.268425
353.010882,1000,631.793561
350.479902,1000,634.464013
351.440091,1000,642.203223
349.076565,1000,644.965141
349.082073,1000,647.802468
351.153249,1000,650.670978
350.231189,1000,653.518531
350.899711,1000,656.253941
351.985293,1000,658.889839
351.197493,1000,665.670065
351.049046,1000,668.361271
353.403766,1000,670.641771
353.5788,1000,673.037934
347.860878,1000,676.067833
350.449282,1000,678.698586
353.774724,1000,685.550126
354.722853,1000,688.224718
349.796339,1000,690.780313
355.32688,1000,693.328991
357.688351,1000,695.983855
349.531401,1000,698.443295
352.011605,1000,704.82131
353.701392,1000,707.022036
349.737902,1000,709.474809
348.022567,1000,711.894488
353.097312,1000,714.39197
349.659588,1000,716.842243
347.682348,1000,723.374977
350.747488,1000,726.087539
351.081279,1000,728.477143
351.041645,1000,730.778713
351.725548,1000,733.272862
353.524302,1000,735.71891
354.843999,1000,738.152015
352.104267,1000,745.010692
348.84602,1000,747.461879
346.752059,1000,749.845445
351.687699,1000,752.308107
347.851827,1000,755.078074
349.613695,1000,757.772871
350.943192,1000,764.945196
351.973403,1000,767.981212
352.900813,1000,770.875189
354.585625,1000,774.312323
354.999121,1000,777.231698
352.23242,1000,780.059063
350.638056,1000,787.134761
355.040609,1000,789.964103
356.198626,1000,792.726636
351.950826,1000,795.46898
351.878271,1000,797.98498
351.921388,1000,800.811748
353.346062,1000,809.129943
354.115177,1000,811.997301
355.219649,1000,814.449476
356.997853,1000,816.881342
353.407466,1000,819.277231
353.096435,1000,821.683979
352.023195,1000,824.09791
