#{"t_start": 1780233715.8425767, "env_id": "Swimmer-v4"}
r,l,t
-6.719381,1000,2.655885
6.550878,1000,5.279018
21.4754,1000,7.883185
35.098363,1000,10.409226
41.618671,1000,12.951591
30.964598,1000,15.533139
22.400755,1000,22.29231
46.656892,1000,24.979115
32.597177,1000,27.759325
35.380726,1000,30.478333
41.134365,1000,33.357737
49.713443,1000,36.072617
39.127717,1000,43.330737
42.356746,1000,45.998248
50.730667,1000,48.615513
81.389493,1000,51.437283
86.035296,1000,54.525773
57.420171,1000,57.127613
88.140859,1000,64.415802
56.67904,1000,67.381009
56.943122,1000,70.080967
94.21152,1000,73.049056
58.813501,1000,76.057306
69.852263,1000,78.804264
66.021671,1000,81.759459
61.37101,1000,89.364263
64.46236,1000,92.452368
75.153941,1000,95.021313
54.819156,1000,97.586809
64.29587,1000,100.133869
52.064262,1000,102.66591
76.916927,1000,109.260053
113.784853,1000,111.86257
120.731871,1000,114.33406
119.387823,1000,116.845937
142.566817,1000,119.346439
130.293029,1000,121.998897
155.222861,1000,129.071591
161.224782,1000,131.737381
160.877227,1000,134.510626
169.712583,1000,137.227097
178.409923,1000,139.959585
182.195565,1000,141.760504
203.612001,1000,148.625085
218.118872,1000,151.148452
223.297682,1000,153.784075
224.356204,1000,156.451947
225.977057,1000,159.190428
238.086322,1000,161.986027
233.390791,1000,164.914698
240.135898,1000,171.762901
262.092062,1000,174.374625
259.459934,1000,177.107708
267.501982,1000,179.75334
264.011754,1000,182.314024
271.801281,1000,185.241
262.756377,1000,191.737713
283.236505,1000,194.418652
275.177649,1000,197.076937
283.538339,1000,199.699836
299.783886,1000,202.217536
288.303408,1000,204.736491
299.744416,1000,211.65673
296.243293,1000,214.30364
291.734059,1000,216.683176
302.773069,1000,219.043365
306.120146,1000,221.529138
311.8322,1000,224.093573
316.80302,1000,230.86367
311.168617,1000,233.616083
312.333295,1000,236.335629
311.514458,1000,238.958132
310.484972,1000,241.550852
316.735207,1000,244.096932
316.895809,1000,246.965113
318.229574,1000,253.510919
315.642239,1000,255.981576
325.713428,1000,258.591343
314.845008,1000,261.160451
313.511054,1000,263.66377
313.758716,1000,266.255941
315.6225,1000,272.847523
316.068228,1000,275.462288
323.162261,1000,277.981331
320.907715,1000,280.658232
321.769798,1000,282.477262
317.375843,1000,285.352865
328.419907,1000,292.290661
323.346872,1000,294.860006
325.392636,1000,297.603576
328.27532,1000,300.094936
323.635432,1000,302.684371
320.474348,1000,305.586599
330.517032,1000,312.447926
329.38313,1000,315.087604
328.002478,1000,317.747739
331.014238,1000,320.305897
333.07216,1000,322.887219
333.483494,1000,325.538969
335.11139,1000,328.067307
331.216223,1000,334.561402
339.337105,1000,337.051948
338.197373,1000,339.509284
335.287033,1000,342.02682
333.153454,1000,344.530837
336.395276,1000,347.019274
333.013084,1000,353.707317
334.760228,1000,356.239436
333.856185,1000,358.764889
335.032508,1000,361.166476
343.662085,1000,363.615733
340.425784,1000,366.268986
336.468303,1000,372.214555
342.589919,1000,374.691682
341.487105,1000,377.150006
344.026074,1000,379.552185
341.105023,1000,382.305725
344.085183,1000,384.743923
343.778051,1000,391.155098
345.657303,1000,393.986894
339.011443,1000,396.864694
341.759894,1000,399.588071
339.096802,1000,402.445977
342.364937,1000,405.539987
339.993573,1000,408.511021
345.27136,1000,415.92381
343.830102,1000,419.039998
342.540588,1000,421.079268
340.078737,1000,423.976372
343.174295,1000,426.851387
340.51244,1000,429.666655
339.935203,1000,436.938268
344.589254,1000,439.925593
340.79641,1000,442.820688
343.756558,1000,445.765872
342.145624,1000,448.437008
342.066194,1000,451.377336
345.360932,1000,458.351589
340.721723,1000,461.055477
346.919297,1000,463.811772
343.984579,1000,466.672007
341.306249,1000,469.383319
346.851555,1000,471.850903
343.704851,1000,478.400565
342.535437,1000,481.07872
342.702968,1000,483.725723
342.646385,1000,486.614662
345.859736,1000,489.180125
347.512592,1000,491.720801
343.448043,1000,494.320981
341.818016,1000,501.080021
345.614271,1000,503.66038
346.365983,1000,506.224802
339.455858,1000,508.951891
343.031615,1000,511.967605
344.463528,1000,514.720754
341.693596,1000,521.577571
346.224444,1000,524.203658
342.03841,1000,526.791447
345.43612,1000,529.39932
348.320729,1000,531.875675
344.52357,1000,534.495744
344.691274,1000,541.052119
344.44909,1000,544.069856
346.603944,1000,546.919171
341.23622,1000,549.328234
340.858952,1000,551.834478
344.805943,1000,554.315448
343.253334,1000,560.902609
346.002961,1000,563.422725
344.109696,1000,565.10296
348.533373,1000,567.614011
349.383225,1000,570.05101
352.12835,1000,572.537661
347.799896,1000,575.134959
348.233254,1000,582.177742
347.831436,1000,584.710083
347.855652,1000,587.293045
345.44607,1000,589.862852
350.178034,1000,592.234407
348.95182,1000,594.666781
347.577869,1000,601.097194
350.704451,1000,603.885327
351.284413,1000,606.91762
350.17834,1000,609.95089
350.198313,1000,612.680843
349.055887,1000,615.191747
354.84932,1000,621.494739
354.027369,1000,624.133845
351.876451,1000,626.706342
350.88693,1000,629.26282
353.001438,1000,631.787976
350.219778,1000,634.458411
352.152591,1000,642.197623
350.135957,1000,644.959577
349.298934,1000,647.796898
351.282223,1000,650.665448
350.275282,1000,653.51435
352.046692,1000,656.248369
353.1157,1000,658.884251
356.088325,1000,665.664476
349.887185,1000,668.355663
351.367516,1000,670.636168
353.646744,1000,673.032331
353.655435,1000,676.062265
348.429567,1000,678.692981
349.514041,1000,685.544515
351.766614,1000,688.219119
349.540245,1000,690.77473
353.468358,1000,693.323388
352.176791,1000,695.978255
351.493797,1000,698.437698
351.591381,1000,704.815708
352.370841,1000,707.016425
355.357533,1000,709.469209
355.472241,1000,711.888892
349.192452,1000,714.38637
351.14731,1000,716.836644
349.142329,1000,723.369361
350.746128,1000,726.081931
349.524597,1000,728.471539
353.537598,1000,730.773119
353.118702,1000,733.267332
347.823765,1000,735.713353
351.42353,1000,738.146448
354.913801,1000,745.005094
345.632907,1000,747.456278
349.233763,1000,749.839833
353.682719,1000,752.302517
350.54006,1000,755.072464
349.014531,1000,757.767302
351.099728,1000,764.939591
352.752888,1000,767.975635
349.022294,1000,770.869587
350.329687,1000,774.306725
354.614445,1000,777.226119
350.379771,1000,780.053457
349.194475,1000,787.129158
353.098234,1000,789.958502
352.904871,1000,792.721188
350.369552,1000,795.463373
351.819839,1000,797.979419
355.288215,1000,800.806151
354.415397,1000,809.124353
352.763696,1000,811.991703
353.740332,1000,814.443915
355.955787,1000,816.875723
352.521654,1000,819.271629
351.024444,1000,821.678402
357.817233,1000,824.092307
