#{"t_start": 1780233715.8452306, "env_id": "Swimmer-v4"}
r,l,t
0.33065,1000,2.653338
11.083283,1000,5.276469
30.145694,1000,7.880655
40.062636,1000,10.406686
28.983125,1000,12.949043
22.4371,1000,15.530592
44.827099,1000,22.289782
38.032615,1000,24.976564
43.29227,1000,27.756795
44.226939,1000,30.475789
44.779814,1000,33.355188
51.964002,1000,36.070072
50.038827,1000,43.328191
60.888185,1000,45.995702
53.380656,1000,48.612981
46.269384,1000,51.434734
48.936691,1000,54.523222
60.160387,1000,57.125079
93.24564,1000,64.41326
70.236724,1000,67.378466
134.809576,1000,70.078426
71.916803,1000,73.046639
62.439629,1000,76.054755
50.319833,1000,78.801728
53.385818,1000,81.756934
54.299944,1000,89.361719
75.478635,1000,92.449824
76.584913,1000,95.018788
69.305577,1000,97.584282
66.144936,1000,100.131343
87.871041,1000,102.663365
106.22755,1000,109.257504
88.334895,1000,111.860041
122.44598,1000,114.331517
132.763255,1000,116.843388
117.853182,1000,119.343892
131.236228,1000,121.996347
160.334858,1000,129.069047
143.281048,1000,131.734842
172.154468,1000,134.508078
170.003933,1000,137.224547
178.550869,1000,139.957036
193.413056,1000,141.757956
199.689285,1000,148.622541
208.519036,1000,151.145936
210.227437,1000,153.781524
220.762973,1000,156.449399
231.83119,1000,159.18788
237.931051,1000,161.983511
262.449883,1000,164.912152
245.333019,1000,171.760357
263.653948,1000,174.372077
262.418156,1000,177.105178
268.675708,1000,179.75079
275.512581,1000,182.311474
263.40898,1000,185.238492
268.039594,1000,191.735178
286.445594,1000,194.416107
285.920548,1000,197.074424
286.848826,1000,199.697286
291.970168,1000,202.215012
299.706159,1000,204.73394
293.756979,1000,211.654194
302.834516,1000,214.301096
300.776151,1000,216.680627
299.539889,1000,219.040848
311.688226,1000,221.526592
313.159505,1000,224.091027
305.717773,1000,230.861123
313.970035,1000,233.613547
313.665173,1000,236.33308
314.477045,1000,238.955581
310.558678,1000,241.548303
312.967315,1000,244.094392
316.913156,1000,246.962569
313.720038,1000,253.508369
315.270024,1000,255.979031
314.183226,1000,258.588793
318.223274,1000,261.157901
322.368825,1000,263.66122
316.869292,1000,266.253393
314.571069,1000,272.844976
323.910696,1000,275.45974
320.626834,1000,277.9788
