#{"t_start": 1780245470.2937655, "env_id": "Ant-v4"}
r,l,t
-57.211524,61,63.77803
-21.084069,100,63.992195
-72.149367,56,64.092266
-21.647256,20,64.125714
-89.209392,65,64.233237
-11.151085,32,64.30649
-89.555661,33,64.364335
-7.541139,13,64.385251
-9.663088,18,64.416134
-8.631583,13,64.437209
-100.936347,70,70.633641
-118.644915,122,70.840461
-33.618951,15,70.864648
-0.193995,20,70.898552
-76.403347,53,70.988295
-12.923444,11,71.006709
-10.720472,12,71.026835
-42.214107,32,71.078903
-18.906722,21,71.11262
-83.567981,55,71.220399
-0.660093,13,71.241662
-6.602143,14,71.264109
-22.405525,27,71.311445
-4.095893,21,71.362753
-22.731534,47,71.442165
-10.499674,12,71.495487
-44.384189,22,71.536131
-54.190191,51,71.835914
-92.117426,76,71.989059
-42.227367,72,72.13348
-25.211129,29,72.191453
-15.46114,12,72.215437
-6.769184,9,72.231328
-588.640888,587,73.261738
-33.242753,87,73.38937
-37.473037,43,73.466022
-17.949935,30,73.527677
-38.488365,73,73.636162
-32.908831,48,75.401017
-56.662434,40,75.459981
-18.995064,17,75.485434
-39.911187,77,75.596612
-13.178716,28,75.655562
-34.329754,36,75.731903
-26.044064,19,75.759754
-40.94667,100,75.915781
-14.336632,10,75.930592
-1048.739669,1000,77.644401
-6.488529,32,77.693734
-33.412405,27,77.734101
-14.798036,49,77.818907
-21.007971,31,77.872949
-28.449611,24,77.909124
-21.229376,49,78.005085
-12.02745,21,78.050451
-23.104135,13,78.070762
-58.664261,42,78.165621
-17.430488,10,78.185363
-47.114239,46,78.260034
-50.053421,55,78.345047
-18.774655,41,78.406213
-20.469911,63,78.501076
-49.572656,73,78.617801
-14.107242,22,78.653058
-81.367056,61,78.748997
-52.290749,30,78.79513
-44.065363,64,80.645642
-20.754487,10,80.661694
-33.224699,30,80.716411
-112.424886,102,80.881794
-33.922041,25,80.930556
-78.509038,44,81.014601
-114.505151,59,81.106263
-55.432679,52,81.189695
-40.678846,69,81.300009
-34.731995,36,81.359453
-79.38272,57,81.451742
-30.398541,62,81.554198
-1035.793302,1000,83.310091
-1006.867567,1000,86.52244
-19.647177,57,86.625237
-70.168941,90,86.767485
-2.938053,12,86.786047
-18.011113,59,86.879325
-34.637768,20,86.911401
-33.840346,20,86.943383
-20.23857,27,86.987699
-43.933899,24,87.024829
-66.985325,61,87.123586
-72.668376,67,87.24451
-25.24081,19,87.274562
0.285576,27,87.316575
-135.33102,85,87.454076
-23.287038,20,87.486536
-19.075646,22,87.524945
-30.516911,46,87.600747
-52.418836,55,87.697108
-58.674048,63,87.801703
-25.578834,18,87.830017
-26.686055,27,87.87228
-39.853812,19,87.914294
-15.452669,11,87.938244
-27.317359,26,87.97956
-73.40286,45,88.051856
-25.744178,31,88.100976
-59.240316,30,88.1485
-26.526069,45,88.239229
-51.812007,40,88.304431
-28.906079,38,88.369371
-11.689545,18,88.397793
-30.137971,30,88.461864
-36.624888,19,88.494196
-60.651819,59,88.634156
-18.386015,14,88.665138
-35.228591,18,88.695439
-20.963085,19,88.726438
-0.430373,15,88.75079
-32.314783,15,88.776182
-18.702541,14,88.799784
-64.102269,124,89.006363
-20.933933,12,89.036989
-19.454435,17,89.069596
