#{"t_start": 1780233588.4557042, "env_id": "Pendulum-v1"}
r,l,t
-1087.311319,200,1.443339
-1183.705976,200,1.702994
-1322.405221,200,1.959638
-1385.838593,200,2.220306
-1209.245058,200,2.476798
-1045.304726,200,6.191944
-1135.200468,200,6.452411
-1182.82311,200,6.708729
-1548.694014,200,6.994315
-1253.102784,200,7.26089
-1482.726102,200,10.509094
-1150.355589,200,10.781729
-1582.442735,200,11.065845
-904.712176,200,11.349533
-1427.145138,200,11.626789
-904.351577,200,15.016311
-1424.397028,200,15.292415
-1025.740667,200,15.564182
-1020.715925,200,15.881265
-964.637021,200,16.162564
-624.895814,200,19.197715
-763.455975,200,19.491578
-1009.086909,200,19.769849
-641.905764,200,20.0592
-1038.915599,200,20.368176
-917.42728,200,23.337404
-903.388367,200,23.625149
-641.541688,200,23.918865
-512.170674,200,24.238747
-1059.713892,200,24.543731
-641.997801,200,27.924398
-519.495485,200,29.064665
-922.429639,200,29.383625
-523.616803,200,29.711668
-506.382137,200,30.012138
-875.025003,200,33.338798
-791.301625,200,33.658031
-394.108593,200,33.976446
-395.021183,200,34.281322
-639.080339,200,34.571083
-269.156772,200,37.726309
-134.337692,200,38.005274
-534.913412,200,38.292914
-394.077607,200,38.575891
-391.130829,200,38.859299
-269.698676,200,39.15564
-265.381285,200,43.142957
-396.160095,200,43.511358
-428.634282,200,43.832041
-394.270063,200,44.160858
-250.597093,200,44.466371
-265.582374,200,48.40369
-127.459365,200,48.712212
-5.052305,200,48.997995
-375.216558,200,49.320633
-124.89628,200,49.630852
-139.18116,200,53.513612
-131.103036,200,53.865662
-134.971711,200,54.246644
-262.86138,200,54.57108
-133.434716,200,54.89894
-128.039708,200,58.98379
-4.575654,200,60.114541
-253.503094,200,60.457564
-261.235381,200,60.890578
-131.942445,200,61.264902
-389.939939,200,65.233342
-263.707522,200,65.658936
-129.766538,200,65.980432
-133.806368,200,66.336866
-457.265176,200,66.710211
-122.554123,200,70.451528
-2.790486,200,70.793284
-135.760666,200,71.080009
-3.403979,200,71.371885
-418.839469,200,71.650826
-135.901489,200,75.313526
-279.852832,200,75.626587
-264.518235,200,75.886398
-272.502172,200,76.136601
-138.239946,200,76.415335
-264.307754,200,79.41467
-2.449679,200,79.727487
-268.750375,200,79.992863
-271.000514,200,80.308032
-128.719314,200,80.66638
-131.113286,200,80.929663
-133.467208,200,84.286661
-401.666887,200,84.565465
-402.309168,200,84.881899
-130.476302,200,85.186006
-137.111164,200,85.5231
-387.584039,200,89.490856
-384.032069,200,90.56858
-260.22264,200,90.928299
-127.321728,200,91.272252
-131.767679,200,91.598336
-413.166583,200,95.066402
-132.465854,200,95.371321
-248.61222,200,95.698308
-3.097523,200,96.000882
-127.851674,200,96.343153
-268.624117,200,99.840594
-133.79948,200,100.141145
-131.385354,200,100.433494
-316.393949,200,100.73818
-3.807341,200,101.029792
-1.13298,200,104.505529
-374.043228,200,104.800244
-258.296579,200,105.084699
-270.654367,200,105.380843
-257.334168,200,105.682669
-266.912001,200,109.761723
-128.338437,200,110.041546
-244.574532,200,110.33187
-134.011304,200,110.620354
-1.562376,200,110.906272
-268.902601,200,114.42644
-126.914518,200,114.714296
-334.433869,200,115.004848
-259.60898,200,115.3001
-281.798245,200,115.581253
-128.11579,200,119.356624
-128.607982,200,119.638966
-126.88679,200,119.942741
-135.971009,200,121.014533
-2.372021,200,121.315608
-259.091145,200,121.63529
