#{"t_start": 1780233588.4561827, "env_id": "Pendulum-v1"}
r,l,t
-1032.603412,200,1.443013
-1152.470884,200,1.702667
-1162.07018,200,1.959333
-1195.571099,200,2.219961
-1058.430342,200,2.476455
-1157.975015,200,6.19161
-1105.774441,200,6.45207
-1013.072695,200,6.708421
-1650.148112,200,6.993996
-1108.360628,200,7.260536
-1129.947116,200,10.508745
-1153.618755,200,10.781375
-1021.478209,200,11.065503
-1028.821122,200,11.349186
-1398.946984,200,11.62644
-1332.928013,200,15.015964
-990.693977,200,15.292062
-1042.219302,200,15.563828
-1118.031799,200,15.88091
-1153.420157,200,16.162232
-1329.088987,200,19.197364
-876.829578,200,19.491244
-931.26258,200,19.769497
-789.326884,200,20.058846
-1016.225495,200,20.367825
-825.700232,200,23.337054
-768.272384,200,23.624801
-769.895368,200,23.918515
-881.133259,200,24.238406
-644.796212,200,24.54341
-764.945484,200,27.92405
-524.12879,200,29.064336
-792.615092,200,29.383289
-896.217128,200,29.711336
-508.409486,200,30.011788
-503.946922,200,33.338445
-265.113481,200,33.657682
-524.406459,200,33.976099
-679.375784,200,34.280972
-342.821853,200,34.570735
-572.556686,200,37.725962
-508.901116,200,38.004923
-549.590911,200,38.292562
-376.634736,200,38.575547
-641.843764,200,38.858967
-787.532888,200,39.155342
-267.767739,200,43.142622
-270.653717,200,43.511003
-4.883699,200,43.831708
-519.31306,200,44.160505
-264.688191,200,44.466017
-137.357173,200,48.4034
-247.44607,200,48.711864
-242.752201,200,48.997643
-205.217482,200,49.320285
-383.816737,200,49.630499
-3.568143,200,53.513275
-245.364787,200,53.865307
-137.12557,200,54.246297
-650.221583,200,54.570731
-277.059211,200,54.898654
-265.758902,200,58.983468
-2.831845,200,60.114196
-261.205243,200,60.457216
-130.584886,200,60.890232
-386.289644,200,61.264554
-359.272483,200,65.233001
-263.412175,200,65.658588
-262.106431,200,65.980083
-3.626902,200,66.336527
-238.718259,200,66.709863
-254.622532,200,70.451179
-251.615494,200,70.79294
-2.876323,200,71.079657
-287.325263,200,71.371531
-437.084546,200,71.650482
-134.993318,200,75.313176
-131.304794,200,75.626234
-2.699546,200,75.886051
-132.1671,200,76.136275
-413.977529,200,76.41501
-260.68398,200,79.414337
-130.870849,200,79.727136
-123.99149,200,79.992523
-388.739815,200,80.307703
-128.882658,200,80.666064
-133.595828,200,80.929307
-382.556059,200,84.286313
-0.956682,200,84.565166
-1.977259,200,84.881546
-126.687969,200,85.185662
-248.296632,200,85.522758
-325.800043,200,89.490518
-360.117553,200,90.568233
-126.893265,200,90.927951
-329.839668,200,91.271907
-130.170257,200,91.597987
-539.522461,200,95.066061
-370.026299,200,95.370987
-132.032198,200,95.697961
-441.702928,200,96.000535
-1.016741,200,96.342833
-127.71082,200,99.840243
-135.665923,200,100.140797
-131.210087,200,100.433143
-518.926724,200,100.737834
-126.214184,200,101.02944
-126.362276,200,104.505183
-242.60395,200,104.799911
-119.125424,200,105.084371
-3.185185,200,105.380496
-379.343494,200,105.682322
-398.694873,200,109.761373
-132.528381,200,110.041193
-261.824574,200,110.331518
-128.776154,200,110.620005
-241.719516,200,110.905927
-272.598574,200,114.426091
-0.487123,200,114.713949
-0.597792,200,115.004508
-127.561208,200,115.299749
-131.316324,200,115.580901
-141.035982,200,119.356275
-134.043511,200,119.638616
-126.997253,200,119.942385
-125.306279,200,121.014184
-132.276749,200,121.315265
-129.582547,200,121.634947
