#{"t_start": 1780233588.4572866, "env_id": "Pendulum-v1"}
r,l,t
-1239.085381,200,1.442018
-1585.438952,200,1.701696
-1310.869292,200,1.958336
-1031.592939,200,2.218956
-1478.061917,200,2.475474
-1658.649067,200,6.190632
-1221.456351,200,6.451072
-1504.171669,200,6.707441
-1217.430447,200,6.992999
-1411.401604,200,7.259531
-973.760207,200,10.507743
-1168.164473,200,10.780367
-925.493313,200,11.064532
-1409.957014,200,11.348181
-926.820499,200,11.62544
-894.599525,200,15.014958
-1310.72112,200,15.291055
-1449.156624,200,15.562824
-1045.777229,200,15.879939
-889.328707,200,16.161237
-1014.107852,200,19.19636
-871.988791,200,19.490293
-868.494485,200,19.768492
-1353.046664,200,20.057843
-1308.967488,200,20.366829
-799.492218,200,23.336047
-944.913799,200,23.623802
-803.71302,200,23.917514
-626.597074,200,24.237447
-730.964573,200,24.542434
-641.713729,200,27.923048
-509.925258,200,29.063487
-754.28941,200,29.382314
-726.671741,200,29.710345
-667.124827,200,30.010796
-518.456393,200,33.337444
-391.459648,200,33.656722
-637.661631,200,33.975097
-752.413014,200,34.279969
-397.664096,200,34.569761
-562.603983,200,37.724958
-265.352014,200,38.003922
-632.47441,200,38.291558
-269.136706,200,38.574544
-267.429551,200,38.857971
-541.60841,200,39.154358
-4.056507,200,43.14162
-133.158665,200,43.51
-3.378629,200,43.830736
-591.209173,200,44.1595
-264.026508,200,44.465014
-130.141241,200,48.402407
-264.925077,200,48.710868
-136.160608,200,48.996638
-390.036514,200,49.319277
-393.858787,200,49.629492
-254.86577,200,53.512511
-254.132592,200,53.864308
-383.795371,200,54.245291
-2.8574,200,54.569726
-272.705065,200,54.897651
-265.774801,200,58.982471
-128.980777,200,60.113194
-1.381434,200,60.45622
-2.907195,200,60.889238
-248.585103,200,61.26356
-273.012433,200,65.232003
-261.376369,200,65.657587
-337.264513,200,65.979084
-563.229141,200,66.335551
-137.877945,200,66.708856
-134.113556,200,70.450193
-124.069277,200,70.791941
-126.720876,200,71.078653
-133.828508,200,71.370527
-134.349661,200,71.649499
-268.925492,200,75.312177
-133.567137,200,75.625227
-388.209537,200,75.885074
-135.758622,200,76.13528
-125.137002,200,76.414013
-276.157469,200,79.413362
-134.371542,200,79.726129
-268.538128,200,79.991527
-124.395702,200,80.306724
-129.76592,200,80.665083
-426.965034,200,80.928304
-290.080667,200,84.285311
-409.573505,200,84.564407
-408.04492,200,84.880538
-347.192248,200,85.184679
-388.661325,200,85.521759
-268.869058,200,89.489551
-130.256524,200,90.567275
-421.71482,200,90.92695
-131.777325,200,91.270912
-132.850638,200,91.596987
-294.376073,200,95.06506
-129.690455,200,95.369987
-1.778096,200,95.696957
-127.175151,200,95.999568
-272.454411,200,96.341838
-330.786311,200,99.839238
-303.431506,200,100.139797
-121.712236,200,100.432139
-290.576958,200,100.736829
-267.426591,200,101.028436
-132.315481,200,104.504185
-272.658972,200,104.79892
-132.065092,200,105.083374
-131.422021,200,105.379494
-284.496659,200,105.681323
-419.996794,200,109.760368
-394.088179,200,110.040188
-131.472176,200,110.330513
-245.045094,200,110.619004
-128.73533,200,110.904948
-133.461706,200,114.425092
-135.605868,200,114.712946
-133.349027,200,115.003524
-135.051529,200,115.298744
-127.925084,200,115.579897
-271.019394,200,119.355269
-122.141747,200,119.637609
-461.570217,200,119.941397
-130.337821,200,121.013186
-0.849296,200,121.314268
-411.832995,200,121.633949
