#{"t_start": 1780237883.336712, "env_id": "Hopper-v4"}
r,l,t
30.599894,33,91.72252
14.614019,22,91.777006
13.624415,20,91.815439
20.080286,28,91.860215
15.995053,23,91.893317
12.699441,20,91.927413
16.136118,22,91.981686
15.378299,22,92.036346
14.144145,23,92.088056
25.199058,27,92.127251
21.73224,26,92.164689
12.9299,20,92.19312
14.674404,21,92.226196
19.717876,26,92.263469
17.433104,24,92.740387
27.252328,29,92.785036
23.127208,28,92.825545
19.81441,25,92.861056
27.973435,29,92.932623
22.147716,27,92.974286
19.531471,25,93.017405
26.193395,28,93.076042
19.596733,26,93.123623
16.921465,24,93.16252
19.044797,26,93.204701
26.263436,30,93.266264
23.088121,28,93.326583
13.738289,21,93.358074
16.82603,24,93.393424
16.406405,25,93.4286
18.337326,26,93.478368
20.720622,26,93.517125
14.497884,20,93.562889
22.105906,27,93.629257
23.324844,28,94.131558
28.116002,28,94.174104
18.196435,25,94.209494
18.650719,26,94.247071
22.297987,28,94.287758
28.058529,29,94.343208
17.813299,25,94.381745
28.826724,31,94.427561
22.661462,26,94.464744
30.225999,31,94.509259
15.315072,22,94.541095
20.639752,27,94.601632
25.433066,29,94.660272
21.12227,25,94.705773
19.141312,25,94.743989
25.345427,29,94.787755
22.055759,29,94.829841
22.645705,26,94.86764
15.429282,22,94.900541
27.877768,28,95.372391
13.178835,21,95.404023
20.211392,28,95.453607
22.275895,27,95.493645
18.870982,25,95.529889
14.115235,23,95.562649
17.996562,25,95.598821
19.097428,25,95.635832
18.38654,25,95.673151
21.422177,26,95.718344
16.3498,21,95.756761
15.931706,22,95.789828
16.306644,22,95.822453
16.843367,25,95.858718
14.705405,22,95.890367
14.577799,22,95.922277
20.302065,26,95.964
19.312629,25,95.999636
16.413258,24,96.046223
12.934994,22,96.100192
21.306984,26,96.147746
19.19878,25,96.620279
32.494282,33,96.669637
19.478936,24,96.704107
22.070001,26,96.743662
17.637459,23,96.777158
15.605822,21,96.807298
21.058826,26,96.845039
14.519419,22,96.877426
15.808579,23,96.915758
19.53387,28,96.980148
19.445533,25,97.017884
22.967596,28,97.060756
14.857796,24,97.097728
17.883885,25,97.135887
21.834943,25,97.258126
22.388117,26,97.297557
22.780499,29,97.475406
18.954911,24,97.555259
23.523994,28,97.608142
22.991294,28,97.658623
31.043275,31,98.172035
26.452325,28,98.220381
24.74942,27,98.262156
21.706726,28,98.321843
25.727599,32,98.366225
18.47693,25,98.400876
20.070427,26,98.454
17.152986,24,98.486742
19.014355,27,98.538188
22.490377,28,98.58291
31.588399,34,98.631181
